x i1 i2 i3 i4 i5 i6 i7 i8
1.960000 0.000000 0.000096 0.000218 0.000351 0.000490 0.000635 0.000784 0.000936
1.970000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000635 0.000784 0.000936
1.980000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000635 0.000784 0.000936
1.990000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000636 0.000784 0.000936
2.000000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000636 0.000784 0.000936
2.010000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000636 0.000785 0.000937
2.020000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000636 0.000785 0.000937
2.030000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000636 0.000785 0.000937
2.040000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000636 0.000785 0.000937
2.050000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000636 0.000785 0.000937
2.060000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000636 0.000785 0.000937
2.070000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000636 0.000785 0.000937
2.080000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000636 0.000785 0.000937
2.090000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000636 0.000785 0.000938
2.100000 0.000000 0.000096 0.000218 0.000351 0.000491 0.000636 0.000785 0.000938
2.110000 0.000000 0.000096 0.000219 0.000351 0.000491 0.000637 0.000786 0.000938
2.120000 0.000000 0.000096 0.000219 0.000352 0.000492 0.000637 0.000786 0.000938
2.130000 0.000000 0.000096 0.000219 0.000352 0.000492 0.000637 0.000786 0.000938
2.140000 0.000000 0.000096 0.000219 0.000352 0.000492 0.000637 0.000786 0.000938
2.150000 0.000000 0.000096 0.000219 0.000352 0.000492 0.000637 0.000786 0.000938
2.160000 0.000000 0.000096 0.000219 0.000352 0.000492 0.000637 0.000786 0.000938
2.170000 0.000000 0.000096 0.000219 0.000352 0.000492 0.000637 0.000786 0.000939
